Experiment CUSExperiment_Hetero
Sweep across services proximity importance, using heterogeneous agents..
Experiment started 2015-04-21 174913

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	True
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1, 2]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 181043, 10,                    0,                  1.8,0.8651,0.1565
 2015-04-21 181048, 10,                    0,                  1.8,0.8735,0.1587
 2015-04-21 181052, 10,                    0,                  1.8,0.8681,0.1570
 2015-04-21 181057, 10,                    0,                  1.8,0.8428,0.1582
 2015-04-21 181101, 10,                    0,                  1.8,0.8691,0.1591
 2015-04-21 181106, 10,                    0,                  1.8,0.8733,0.1521
 2015-04-21 181110, 10,                    0,                  1.8,0.8599,0.1535
 2015-04-21 181114, 10,                    0,                  1.8,0.8730,0.1574
 2015-04-21 181119, 10,                    0,                  1.8,0.8688,0.1532
 2015-04-21 181123, 10,                    0,                  1.8,0.8765,0.1511
 2015-04-21 181128, 10,                    0,                  1.8,0.8800,0.1557
 2015-04-21 181132, 10,                    0,                  1.8,0.8723,0.1582
 2015-04-21 181137, 10,                    0,                  1.8,0.8777,0.1559
 2015-04-21 181141, 10,                    0,                  1.8,0.8693,0.1563
 2015-04-21 181146, 10,                    0,                  1.8,0.8629,0.1579
 2015-04-21 181150, 10,                    0,                  1.8,0.8666,0.1568
 2015-04-21 181155, 10,                    0,                  1.8,0.8696,0.1575
 2015-04-21 181159, 10,                    0,                  1.8,0.8626,0.1565
 2015-04-21 181203, 10,                    0,                  1.8,0.8616,0.1583
averages: ,,                    0,                  1.8,0.8667,0.1564
standard deviations: ,,                    0,                  1.8,0.0072,0.0021
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,2.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 181208, 11,                    0,                  2.0,0.8663,0.1572
 2015-04-21 181213, 11,                    0,                  2.0,0.8770,0.1522
 2015-04-21 181218, 11,                    0,                  2.0,0.8599,0.1549
 2015-04-21 181222, 11,                    0,                  2.0,0.8854,0.1565
 2015-04-21 181227, 11,                    0,                  2.0,0.8819,0.1562
