Experiment CUSExperiment_Main
Sweep across services proximity importance.
Experiment started 2015-04-20 022217

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 024153, 9,                    0,                  1.6,0.8748,0.1553
 2015-04-20 024157, 9,                    0,                  1.6,0.8884,0.1569
averages: ,,                    0,                  1.6,0.8897,0.1541
standard deviations: ,,                    0,                  1.6,0.0097,0.0028
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.8
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 024201, 10,                    0,                  1.8,0.9047,0.1516
 2015-04-20 024206, 10,                    0,                  1.8,0.8903,0.1546
 2015-04-20 024210, 10,                    0,                  1.8,0.8963,0.1518
 2015-04-20 024215, 10,                    0,                  1.8,0.8866,0.1515
 2015-04-20 024219, 10,                    0,                  1.8,0.8933,0.1549
 2015-04-20 024223, 10,                    0,                  1.8,0.9012,0.1538
 2015-04-20 024228, 10,                    0,                  1.8,0.8812,0.1582
 2015-04-20 024232, 10,                    0,                  1.8,0.9000,0.1541
 2015-04-20 024236, 10,                    0,                  1.8,0.8946,0.1552
 2015-04-20 024241, 10,                    0,                  1.8,0.8965,0.1533
 2015-04-20 024245, 10,                    0,                  1.8,0.9010,0.1509
 2015-04-20 024249, 10,                    0,                  1.8,0.9010,0.1557
 2015-04-20 024254, 10,                    0,                  1.8,0.9042,0.1502
 2015-04-20 024258, 10,                    0,                  1.8,0.9030,0.1519
 2015-04-20 024303, 10,                    0,                  1.8,0.8958,0.1504
 2015-04-20 024307, 10,                    0,                  1.8,0.8916,0.1542
 2015-04-20 024311, 10,                    0,                  1.8,0.8834,0.1576
 2015-04-20 024316, 10,                    0,                  1.8,0.8948,0.1527
 2015-04-20 024320, 10,                    0,                  1.8,0.8988,0.1512
 2015-04-20 024324, 10,                    0,                  1.8,0.8800,0.1553
 2015-04-20 024329, 10,                    0,                  1.8,0.8970,0.1540
 2015-04-20 024333, 10,                    0,                  1.8,0.8864,0.1544
 2015-04-20 024337, 10,                    0,                  1.8,0.8869,0.1503
 2015-04-20 024342, 10,                    0,                  1.8,0.9067,0.1559
 2015-04-20 024346, 10,                    0,                  1.8,0.9015,0.1521
 2015-04-20 024351, 10,                    0,                  1.8,0.8921,0.1524
 2015-04-20 024355, 10,                    0,                  1.8,0.8901,0.1572
 2015-04-20 024359, 10,                    0,                  1.8,0.8896,0.1511
 2015-04-20 024404, 10,                    0,                  1.8,0.8824,0.1535
 2015-04-20 024408, 10,                    0,                  1.8,0.8943,0.1537
averages: ,,                    0,                  1.8,0.8942,0.1535
standard deviations: ,,                    0,                  1.8,0.0073,0.0022
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,2.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 024413, 11,                    0,                  2.0,0.8866,0.1539
 2015-04-20 024417, 11,                    0,                  2.0,0.8911,0.1569
 2015-04-20 024422, 11,                    0,                  2.0,0.8968,0.1535
 2015-04-20 024426, 11,                    0,                  2.0,0.9092,0.1486
 2015-04-20 024431, 11,                    0,                  2.0,0.8978,0.1525
 2015-04-20 024435, 11,                    0,                  2.0,0.8812,0.1537
 2015-04-20 024440, 11,                    0,                  2.0,0.8943,0.1532
 2015-04-20 024444, 11,                    0,                  2.0,0.8928,0.1527
 2015-04-20 024448, 11,                    0,                  2.0,0.8911,0.1522
 2015-04-20 024453, 11,                    0,                  2.0,0.8960,0.1520
 2015-04-20 024457, 11,                    0,                  2.0,0.8918,0.1511
